date,market,symbol,company,fiscal_period,industry,q0_eps_actual,q0_eps_forecast,q0_eps_surprise,q0_sales_actual,q0_sales_forecast,q0_sales_surprise,q1_eps_actual,q1_eps_forecast,q1_eps_surprise,q1_sales_actual,q1_sales_forecast,q1_sales_surprise,q2_eps_actual,q2_eps_forecast,q2_eps_surprise,q2_sales_actual,q2_sales_forecast,q2_sales_surprise,q3_eps_actual,q3_eps_forecast,q3_eps_surprise,q3_sales_actual,q3_sales_forecast,q3_sales_surprise,q4_eps_actual,q4_eps_forecast,q4_eps_surprise,q4_sales_actual,q4_sales_forecast,q4_sales_surprise,q5_eps_actual,q5_eps_forecast,q5_eps_surprise,q5_sales_actual,q5_sales_forecast,q5_sales_surprise,q6_eps_actual,q6_eps_forecast,q6_eps_surprise,q6_sales_actual,q6_sales_forecast,q6_sales_surprise,q7_eps_actual,q7_eps_forecast,q7_eps_surprise,q7_sales_actual,q7_sales_forecast,q7_sales_surprise
2026-04-30,TSE,6971,京セラ,Q4 '25,電気機器,32.12,14.13,127.3,548.21,506.9,8.15,30.97,21.71,42.66,530.61,510.47,3.95,13.24,12.47,6.14,513.35,498.64,2.95,26.37,16.86,56.38,478.04,483.67,-1.16,4.1,3.83,6.91,522.4,503.89,3.67,-12.6,21.38,-158.93,493.47,505.86,-2.45,-0.51,8.91,-105.72,499.72,512.06,-2.41,26.12,19.15,36.43,498.87,489.17,1.98
2026-04-30,NASDAQ,GOOG,Alphabet (Google),Q1 '26,ソフトウェア、テクノロジー,5.11,2.68,90.44,109.9,106.96,2.74,2.82,2.63,7.04,113.83,111.32,2.25,2.87,2.27,26.61,102.35,99.94,2.4,2.31,2.18,5.82,96.43,94.04,2.54,2.81,2.02,38.84,90.23,89.2,1.15,2.15,2.12,1.45,96.47,96.7,-0.24,2.12,1.84,14.96,88.27,86.39,2.17,1.89,1.85,2.31,84.74,84.21,0.63
2026-04-30,NASDAQ,MSFT,Microsoft,Q3 '26,ソフトウェア、テクノロジー,4.27,4.06,5.18,82.89,81.44,1.77,4.14,3.9,6.08,81.27,80.31,1.2,4.13,3.67,12.43,77.67,75.49,2.89,3.65,3.37,8.16,76.44,73.93,3.4,3.46,3.22,7.38,70.07,68.44,2.38,3.23,3.12,3.54,69.63,68.87,1.11,3.3,3.1,6.41,65.58,64.56,1.58,2.95,2.94,0.43,64.73,64.38,0.54
2026-05-01,NASDAQ,AAPL,Apple,Q2 '26,テクノロジー,2.01,1.95,3.3,111.18,109.46,1.58,2.84,2.67,6.23,143.76,138.39,3.88,1.85,1.78,4.1,102.47,102.23,0.23,1.57,1.44,9.18,94.04,89.56,4.99,1.65,1.63,1.39,95.36,94.54,0.86,2.4,2.35,2.23,124.3,124.26,0.03,1.64,1.6,2.48,94.93,94.51,0.44,1.4,1.35,4.05,85.78,84.48,1.53
2026-05-02,NYSE,BRK.B,Berkshire Hathaway,Q1 '26,保険、製造業、金融、投資,5.25,5.08,3.51,93.67,92.91,0.82,4.73,5.51,-14.16,100.67,96.98,3.81,6.26,5.72,9.39,94.97,95.62,-0.68,5.17,5.01,3.22,92.52,91.96,0.6,4.47,4.72,-5.4,83.29,90.83,-8.3,6.74,4.62,45.86,94.92,92.16,2.99,4.68,4.89,-4.33,93.0,92.23,0.83,5.38,4.36,23.5,93.65,91.09,2.81
2026-05-08,TSE,6758,ソニーグループ,Q4 '25,電気機器,14.24,34.41,-58.62,3040.0,2910.0,4.41,63.18,61.48,2.77,3710.0,3680.0,1.0,54.24,49.87,8.76,3110.0,3030.0,2.6,40.85,34.94,16.9,2620.0,2660.0,-1.56,31.35,24.22,29.44,2630.0,3030.0,-13.23,59.11,45.38,30.25,4410.0,3770.0,17.07,53.26,37.98,40.22,2910.0,3000.0,-3.25,36.21,31.61,14.55,3010.0,2750.0,9.41
2026-05-08,TSE,7974,任天堂,Q4 '25,その他製品,56.28,60.72,-7.32,407.17,415.61,-2.03,137.36,127.9,7.39,806.32,830.53,-2.91,88.39,61.66,43.36,527.2,464.3,13.55,82.48,46.32,78.05,572.36,479.59,19.34,35.74,33.21,7.6,208.7,211.57,-1.35,110.4,121.25,-8.95,432.92,488.88,-11.45,23.8,41.74,-42.98,276.66,273.33,1.22,69.53,70.79,-1.79,246.64,288.5,-14.51
2026-05-08,TSE,9766,コナミグループ,Q4 '25,情報・通信業,189.34,146.9,28.89,140.66,132.7,6.0,205.54,205.87,-0.16,128.18,127.27,0.72,196.6,162.8,20.76,127.88,128.21,-0.26,146.32,152.99,-4.36,96.96,97.34,-0.38,85.44,125.02,-31.66,110.77,119.71,-7.47,197.03,169.66,16.13,126.75,119.56,6.01,127.18,124.25,2.36,94.05,92.21,1.99,141.35,121.61,16.23,90.04,84.54,6.5
2026-05-08,TSE,7203,トヨタ自動車,Q4 '25,輸送用機器,62.7,49.27,27.25,12600.0,12610.0,-0.12,96.48,67.65,42.61,13460.0,12870.0,4.56,71.51,50.08,42.8,12380.0,12160.0,1.83,64.56,60.56,6.6,12250.0,12180.0,0.63,51.61,41.15,25.43,12360.0,11970.0,3.25,165.8,98.64,68.09,12390.0,11950.0,3.66,43.16,73.33,-41.14,11440.0,11470.0,-0.2,98.99,89.8,10.24,11840.0,11660.0,1.52
2026-05-10,TSE,4568,第一三共,Q4 '25,医薬品,46.79,39.15,19.52,558.11,549.89,1.49,24.52,44.83,-45.3,500.76,495.5,1.06,46.03,34.21,34.54,474.6,460.74,3.01,46.31,19.46,138.01,518.69,491.97,5.43,32.82,31.47,4.28,484.84,474.45,2.19,32.23,24.52,31.42,446.55,428.43,4.23,44.6,24.8,79.83,436.18,412.98,5.62,19.1,7.56,152.58,428.4,407.12,5.23
2026-05-11,TSE,6367,ダイキン工業,Q4 '25,機械,117.61,197.88,-40.56,1190.0,1160.0,2.52,271.18,261.84,3.57,1260.0,1250.0,1.1,278.43,242.24,14.94,1210.0,1250.0,-3.01,266.55,232.97,14.41,1160.0,1170.0,-0.72,119.72,207.7,-42.36,1100.0,1110.0,-0.63,302.47,253.25,19.43,1240.0,1180.0,4.99,215.53,282.4,-23.68,1250.0,1180.0,5.69,,161.12,,1130.0,1000.0,12.99
