month,score,level,level_label,data_quality_pct,rule_agreement_pct,event,max_drawdown_pct,lead_time_days
2014-05-01,11,calm,平常,77,91,False,0.3691104485151402,
2014-06-01,13,calm,平常,77,87,False,-1.5079830845342357,
2014-07-01,19,calm,平常,77,87,False,2.1557280203165785,
2014-08-01,11,calm,平常,77,94,False,-1.5513837249454,
2014-09-01,15,calm,平常,77,94,False,2.320146066720307,
2014-10-01,9,calm,平常,77,94,False,-1.1426901234258733,
2014-11-01,12,calm,平常,77,87,False,-3.5099376222586494,
2014-12-01,21,calm,平常,77,81,False,-3.1040805838410654,
2015-01-01,28,caution,注意,77,69,False,3.6541487777182073,
2015-02-01,15,calm,平常,77,94,False,-1.739610711421953,
2015-03-01,17,calm,平常,77,94,False,-0.23114311711688101,
2015-04-01,12,calm,平常,77,94,False,-1.0740731158738173,
2015-05-01,10,calm,平常,77,100,False,-6.415985923790085,
2015-06-01,18,calm,平常,77,94,False,-6.9351644204679515,
2015-07-01,10,calm,平常,77,100,False,-8.736883551736273,
2015-08-01,41,caution,注意,77,65,False,-2.6442831280001444,
2015-09-01,32,caution,注意,77,59,False,6.453540320655894,
2015-10-01,18,calm,平常,77,100,False,-6.690525450158323,
2015-11-01,24,calm,平常,77,82,False,-7.122631495750855,
2015-12-01,25,caution,注意,77,89,False,-5.465422866615273,
2016-01-01,37,caution,注意,77,59,False,-0.4128360309003535,
2016-02-01,37,caution,注意,77,72,False,6.599111444005835,
2016-03-01,23,calm,平常,77,84,False,0.26993982833325136,
2016-04-01,28,caution,注意,77,78,False,1.5324602525288527,
2016-05-01,20,calm,平常,77,98,False,0.09109212401242645,
2016-06-01,33,caution,注意,77,69,False,3.3070289851110823,
2016-07-01,26,caution,注意,77,80,False,-2.1830232416563016,
2016-08-01,26,caution,注意,77,80,False,-2.063614999689054,
2016-09-01,25,caution,注意,77,80,False,-1.9425678909034487,
2016-10-01,28,caution,注意,77,80,False,3.4174521829295044,
2016-11-01,20,calm,平常,77,94,False,1.8200762441865863,
2016-12-01,19,calm,平常,77,94,False,1.7884358198382422,
2017-01-01,20,calm,平常,77,87,False,3.679448551421153,
2017-02-01,19,calm,平常,77,87,False,-0.038919713526945135,
2017-03-01,19,calm,平常,77,94,False,0.9091208748854712,
2017-04-01,17,calm,平常,77,87,False,1.1576251246328597,
2017-05-01,15,calm,平常,77,94,False,0.48137752078125806,
2017-06-01,17,calm,平常,77,94,False,1.9348826001101924,
2017-07-01,18,calm,平常,77,87,False,0.05464330198533378,
2017-08-01,16,calm,平常,77,87,False,1.930297856216758,
2017-09-01,17,calm,平常,77,87,False,2.2188135066151298,
2017-10-01,16,calm,平常,77,87,False,2.808262780656345,
2017-11-01,15,calm,平常,77,94,False,0.9831630594270564,
2017-12-01,17,calm,平常,77,87,False,-1.2245611334087048,
